"Título","Enlace","Año","Duración"
"1. Cadena perpetua","https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1","1994","2h 22m"
"2. El padrino","https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2","1972","2h 55m"
"3. El caballero oscuro","https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3","2008","2h 32m"
"4. El padrino parte II","https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4","1974","3h 22m"
"5. 12 hombres sin piedad","https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5","1957","1h 36m"
"6. La lista de Schindler","https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6","1993","3h 15m"
"7. El señor de los anillos: El retorno del rey","https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7","2003","3h 21m"
"8. Pulp Fiction","https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8","1994","2h 34m"
"9. El señor de los anillos: La comunidad del anillo","https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9","2001","2h 58m"
"10. El bueno, el feo y el malo","https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10","1966","3h 2m"
"11. Forrest Gump","https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11","1994","2h 22m"
"12. El club de la lucha","https://www.imdb.com/title/tt0137523/?ref_=chttp_t_12","1999","2h 19m"
"13. El señor de los anillos: Las dos torres","https://www.imdb.com/title/tt0167261/?ref_=chttp_t_13","2002","2h 59m"
"14. Origen","https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14","2010","2h 28m"
"15. El imperio contraataca","https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15","1980","2h 4m"
"16. Matrix","https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16","1999","2h 16m"
"17. Uno de los nuestros","https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17","1990","2h 25m"
"18. Alguien voló sobre el nido del cuco","https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18","1975","2h 13m"
"19. Seven","https://www.imdb.com/title/tt0114369/?ref_=chttp_t_19","1995","2h 7m"
"20. ¡Qué bello es vivir!","https://www.imdb.com/title/tt0038650/?ref_=chttp_t_20","1946","2h 10m"
"21. Los siete samuráis","https://www.imdb.com/title/tt0047478/?ref_=chttp_t_21","1954","3h 27m"
"22. Interstellar","https://www.imdb.com/title/tt0816692/?ref_=chttp_t_22","2014","2h 49m"
"23. El silencio de los corderos","https://www.imdb.com/title/tt0102926/?ref_=chttp_t_23","1991","1h 58m"
"24. Salvar al soldado Ryan","https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24","1998","2h 49m"
"25. Ciudad de Dios","https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25","2002","2h 10m"
"26. La vida es bella","https://www.imdb.com/title/tt0118799/?ref_=chttp_t_26","1997","1h 56m"
"27. La milla verde","https://www.imdb.com/title/tt0120689/?ref_=chttp_t_27","1999","3h 9m"
"28. Spider-Man: Cruzando el multiverso","https://www.imdb.com/title/tt9362722/?ref_=chttp_t_28","2023","2h 20m"
"29. La guerra de las galaxias","https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29","1977","2h 1m"
"30. Terminator 2: El juicio final","https://www.imdb.com/title/tt0103064/?ref_=chttp_t_30","1991","2h 17m"
"31. Regreso al futuro","https://www.imdb.com/title/tt0088763/?ref_=chttp_t_31","1985","1h 56m"
"32. El viaje de Chihiro","https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32","2001","2h 5m"
"33. El pianista","https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33","2002","2h 30m"
"34. Psicosis","https://www.imdb.com/title/tt0054215/?ref_=chttp_t_34","1960","1h 49m"
"35. Parásitos","https://www.imdb.com/title/tt6751668/?ref_=chttp_t_35","2019","2h 12m"
"36. Gladiator (El gladiador)","https://www.imdb.com/title/tt0172495/?ref_=chttp_t_36","2000","2h 35m"
"37. El rey león","https://www.imdb.com/title/tt0110357/?ref_=chttp_t_37","1994","1h 28m"
"38. El profesional (Léon)","https://www.imdb.com/title/tt0110413/?ref_=chttp_t_38","1994","1h 50m"
"39. American History X","https://www.imdb.com/title/tt0120586/?ref_=chttp_t_39","1998","1h 59m"
"40. Infiltrados","https://www.imdb.com/title/tt0407887/?ref_=chttp_t_40","2006","2h 31m"
"41. Whiplash","https://www.imdb.com/title/tt2582802/?ref_=chttp_t_41","2014","1h 46m"
"42. El truco final (El prestigio)","https://www.imdb.com/title/tt0482571/?ref_=chttp_t_42","2006","2h 10m"
"43. Sospechosos habituales","https://www.imdb.com/title/tt0114814/?ref_=chttp_t_43","1995","1h 46m"
"44. La tumba de las luciérnagas","https://www.imdb.com/title/tt0095327/?ref_=chttp_t_44","1988","1h 29m"
"45. Harakiri","https://www.imdb.com/title/tt0056058/?ref_=chttp_t_45","1962","2h 13m"
"46. Casablanca","https://www.imdb.com/title/tt0034583/?ref_=chttp_t_46","1942","1h 42m"
"47. Intocable","https://www.imdb.com/title/tt1675434/?ref_=chttp_t_47","2011","1h 52m"
"48. Tiempos modernos","https://www.imdb.com/title/tt0027977/?ref_=chttp_t_48","1936","1h 27m"
"49. Cinema Paradiso","https://www.imdb.com/title/tt0095765/?ref_=chttp_t_49","1988","2h 35m"
"50. Hasta que llegó su hora","https://www.imdb.com/title/tt0064116/?ref_=chttp_t_50","1968","2h 46m"
"51. La ventana indiscreta","https://www.imdb.com/title/tt0047396/?ref_=chttp_t_51","1954","1h 52m"
"52. Alien, el octavo pasajero","https://www.imdb.com/title/tt0078748/?ref_=chttp_t_52","1979","1h 57m"
"53. Luces de la ciudad","https://www.imdb.com/title/tt0021749/?ref_=chttp_t_53","1931","1h 27m"
"54. Apocalypse Now","https://www.imdb.com/title/tt0078788/?ref_=chttp_t_54","1979","2h 27m"
"55. Django desencadenado","https://www.imdb.com/title/tt1853728/?ref_=chttp_t_55","2012","2h 45m"
"56. Memento","https://www.imdb.com/title/tt0209144/?ref_=chttp_t_56","2000","1h 53m"
"57. En busca del arca perdida","https://www.imdb.com/title/tt0082971/?ref_=chttp_t_57","1981","1h 55m"
"58. WALL·E","https://www.imdb.com/title/tt0910970/?ref_=chttp_t_58","2008","1h 38m"
"59. La vida de los otros","https://www.imdb.com/title/tt0405094/?ref_=chttp_t_59","2006","2h 17m"
"60. Oppenheimer","https://www.imdb.com/title/tt15398776/?ref_=chttp_t_60","2023","3h"
"61. El crepúsculo de los dioses","https://www.imdb.com/title/tt0043014/?ref_=chttp_t_61","1950","1h 50m"
"62. Senderos de gloria","https://www.imdb.com/title/tt0050825/?ref_=chttp_t_62","1957","1h 28m"
"63. Vengadores: Infinity War","https://www.imdb.com/title/tt4154756/?ref_=chttp_t_63","2018","2h 29m"
"64. El resplandor","https://www.imdb.com/title/tt0081505/?ref_=chttp_t_64","1980","2h 26m"
"65. Spider-Man: Un nuevo universo","https://www.imdb.com/title/tt4633694/?ref_=chttp_t_65","2018","1h 57m"
"66. El gran dictador","https://www.imdb.com/title/tt0032553/?ref_=chttp_t_66","1940","2h 5m"
"67. Testigo de cargo","https://www.imdb.com/title/tt0051201/?ref_=chttp_t_67","1957","1h 56m"
"68. Aliens: El regreso","https://www.imdb.com/title/tt0090605/?ref_=chttp_t_68","1986","2h 17m"
"69. Malditos bastardos","https://www.imdb.com/title/tt0361748/?ref_=chttp_t_69","2009","2h 33m"
"70. El caballero oscuro: La leyenda renace","https://www.imdb.com/title/tt1345836/?ref_=chttp_t_70","2012","2h 44m"
"71. American Beauty","https://www.imdb.com/title/tt0169547/?ref_=chttp_t_71","1999","2h 2m"
"72. ¿Teléfono rojo? Volamos hacia Moscú","https://www.imdb.com/title/tt0057012/?ref_=chttp_t_72","1964","1h 35m"
"73. Old Boy","https://www.imdb.com/title/tt0364569/?ref_=chttp_t_73","2003","2h"
"74. Coco","https://www.imdb.com/title/tt2380307/?ref_=chttp_t_74","2017","1h 45m"
"75. Amadeus","https://www.imdb.com/title/tt0086879/?ref_=chttp_t_75","1984","2h 40m"
"76. Toy Story","https://www.imdb.com/title/tt0114709/?ref_=chttp_t_76","1995","1h 21m"
"77. El submarino (Das Boot)","https://www.imdb.com/title/tt0082096/?ref_=chttp_t_77","1981","2h 29m"
"78. Braveheart","https://www.imdb.com/title/tt0112573/?ref_=chttp_t_78","1995","2h 58m"
"79. Vengadores: Endgame","https://www.imdb.com/title/tt4154796/?ref_=chttp_t_79","2019","3h 1m"
"80. Joker","https://www.imdb.com/title/tt7286456/?ref_=chttp_t_80","2019","2h 2m"
"81. La princesa Mononoke","https://www.imdb.com/title/tt0119698/?ref_=chttp_t_81","1997","2h 14m"
"82. El indomable Will Hunting","https://www.imdb.com/title/tt0119217/?ref_=chttp_t_82","1997","2h 6m"
"83. Your Name.","https://www.imdb.com/title/tt5311514/?ref_=chttp_t_83","2016","1h 46m"
"84. Érase una vez en América","https://www.imdb.com/title/tt0087843/?ref_=chttp_t_84","1984","3h 49m"
"85. El infierno del odio","https://www.imdb.com/title/tt0057565/?ref_=chttp_t_85","1963","2h 23m"
"86. 3 Idiots","https://www.imdb.com/title/tt1187043/?ref_=chttp_t_86","2009","2h 50m"
"87. Cantando bajo la lluvia","https://www.imdb.com/title/tt0045152/?ref_=chttp_t_87","1952","1h 43m"
"88. Cafarnaúm","https://www.imdb.com/title/tt8267604/?ref_=chttp_t_88","2018","2h 6m"
"89. Réquiem por un sueño","https://www.imdb.com/title/tt0180093/?ref_=chttp_t_89","2000","1h 42m"
"90. Masacre (Ven y mira)","https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90","1985","2h 22m"
"91. Toy Story 3","https://www.imdb.com/title/tt0435761/?ref_=chttp_t_91","2010","1h 43m"
"92. El retorno del jedi","https://www.imdb.com/title/tt0086190/?ref_=chttp_t_92","1983","2h 11m"
"93. ¡Olvídate de mí!","https://www.imdb.com/title/tt0338013/?ref_=chttp_t_93","2004","1h 48m"
"94. 2001: Una odisea del espacio","https://www.imdb.com/title/tt0062622/?ref_=chttp_t_94","1968","2h 29m"
"95. La caza","https://www.imdb.com/title/tt2106476/?ref_=chttp_t_95","2012","1h 55m"
"96. Reservoir Dogs","https://www.imdb.com/title/tt0105236/?ref_=chttp_t_96","1992","1h 39m"
"97. Vivir","https://www.imdb.com/title/tt0044741/?ref_=chttp_t_97","1952","2h 23m"
"98. Lawrence de Arabia","https://www.imdb.com/title/tt0056172/?ref_=chttp_t_98","1962","3h 38m"
"99. El apartamento","https://www.imdb.com/title/tt0053604/?ref_=chttp_t_99","1960","2h 5m"
"100. Ciudadano Kane","https://www.imdb.com/title/tt0033467/?ref_=chttp_t_100","1941","1h 59m"
